No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
14,H04N5/067,3,送信機端における装置または回路［４］,"【ＩＰＣタイトル】 Arrangements or circuits at the transmitter end [4, 2006.01] 送信機（テレビジョンカメラも含む）における同期信号の発生。",H04N5/232（テレビジョンカメラの制御） H04N5/073@A（同期結合） H04N5/12@A（AFC回路） H04N9/44（色同期）,5C020
15,H04N5/073,4,複数の同期信号源，例．スタジオまたは中継局，を相互にロックするためのもの［４］,"【ＩＰＣタイトル】 for mutually locking plural sources of synchronising signals, e.g. studios or relay stations [4, 2006.01]",-,5C020
16,H04N5/073@A,0,同期結合,複数の同期信号源（例：カメラ、スタジオ、中継局）を相互にロックするためのもの。同期結合。,H04N5/232（テレビジョンカメラの制御） H04N5/76-（記録装置の同期運転） H04N9/44（色同期）,5C020
17,H04N5/073@B,0,フレ－ムシンクロナイザ,フレームシンクロナイザにおける同期信号処理。,H04N5/907（メモリ） H04N5/262（スタジオ回路）,5C020
18,H04N5/073@Z,0,その他,-,-,5C020
19,H04N5/08,2,映像信号からの同期信号の分離,"【ＩＰＣタイトル】 Separation of synchronising signals from picture signals [1, 2006.01]",-,5C020
20,H04N5/08@A,0,雑音除去,複合映像信号から複合同期信号を分離するもののうち、雑音も分離しないようにするためのもの。,H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N5/16（クランプ回路） H04N9/44（色同期）,5C020
21,H04N5/08@Z,0,その他,複合映像信号から複合同期信号を分離するもののうち、Ｈ０４Ｎ５／０８Ａに該当しないもの。,H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N5/16（クランプ回路） H04N9/44（色同期）,5C020
22,H04N5/10,3,垂直同期信号と水平同期信号の分離,"【ＩＰＣタイトル】 Separation of line synchronising signal from frame synchronising signal [1, 2006.01]",-,5C020
23,H04N5/10@A,0,垂直同期信号の分離,-,H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
24,H04N5/10@B,0,フイ－ルド判別,同期信号を用いてフィールド判別を行うもの。,H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
25,H04N5/10@Z,0,その他,・水平同期信号の分離。 ・等化パルスの分離。,H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
26,H04N5/12,2,同期装置と同期される走査装置との間で位相差が生ずる場合にのみ同期を補正する信号を発生する装置，例．フライホイール同期［２］,"【ＩＰＣタイトル】 Devices in which the synchronising signals are only operative if a phase difference occurs between synchronising and synchronised scanning devices, e.g. flywheel synchronising [1, 2, 2006.01]",-,5C020
27,H04N5/12@A,0,自動周波数制御装置,自動周波数制御装置（ＡＦＣ回路）。,H04N5/05（AFC回路の時定数の切り換え） H04N5/06（同期信号の発生） H04N5/44@H（選局回路） H04N5/50（同調回路） H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
28,H04N5/12@B,0,位相比較のための波形の形成,位相比較のための波形の形成。すなわち、ＡＦＣ回路、ＰＬＬ回路中の位相比較器に入力する信号の波形処理。,H04N5/06（同期信号の発生） H04N5/44@H（選局回路） H04N5/50（同調回路） H04N5/66（表示装置の制御） H04N5/91@D（記録のための同期信号処理） H04N5/92@F（記録のための同期信号の変換） H04N5/93@A（再生のための同期信号処理） H04N9/44（色同期）,5C020
29,H04N5/12@Z,0,その他,-,-,5C020
30,H04N5/14,1,映像周波数帯域用の映像信号回路　（電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御Ｈ０４Ｎ２３／００）［２００６．０１］,"【ＩＰＣタイトル】 Picture signal circuitry for video frequency region (cameras or camera modules comprising electronic image sensors, or control thereof H04N 23/00)[2023.01]",H04N23/00（電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御）,5C021
31,"H04N5/14,010",2,ビーム電流制御手段,-,-,5C021
32,"H04N5/14,020",2,エッジ；輪郭,-,-,5C021
33,"H04N5/14,040",2,動き検出（ビデオ符号化用Ｈ０４Ｎ１９／５０３；動き解析一般　Ｇ０６Ｔ７／２０）,-,-,5C021
34,"H04N5/14,050",3,動き推定（ビデオ符号化用Ｈ０４Ｎ１９／５１）,-,-,5C021
35,"H04N5/14,070",2,シーンチェンジ検出,-,-,5C021
36,"H04N5/14,080",2,ビデオ増幅器（増幅器一般Ｈ０３Ｆ）,-,-,5C021
37,H04N5/16,2,信号の直流および低周波成分の再生回路；黒または白レベル保持のための回路,"【ＩＰＣタイトル】 Circuitry for reinsertion of dc and slowly varying components of signal; Circuitry for preservation of black or white level [1, 2006.01]",-,5C021
38,"H04N5/16,050",3,黒レベルを一定に維持するためのもの,-,-,5C021
39,H04N5/18,3,スイッチング回路により作動されるクランプ回路によるもの,"【ＩＰＣタイトル】 by means of ""clamp"" circuit operated by switching circuit [1, 2006.01]",-,5C021
40,"H04N5/18,050",4,黒レベル用,-,-,5C021
41,H04N5/20,2,振幅レスポンス制御用回路　［２００６．０１］,"【ＩＰＣタイトル】 Circuitry for controlling amplitude response [1, 2006.01] ホワイトクリップ、ブラッククリップ回路 ・白圧縮回路（ニー回路） ・その他、振幅調整に関する信号処理回路のうち周波数特性をもたないもの",H03G11/00@A-11/08,5C021
42,H04N5/202,3,ガンマ補正（シーンの明るさとは関係なくカメラの応答を制御するためのものＨ０４Ｎ２３／８２）［２０２３．０１］,【ＩＰＣタイトル】Gamma control (circuits for controlling camera response irrespective of the scene brightness H04N 23/82)[2023.01],H04N23/82 （シーンの明るさとは関係なくカメラの応答を制御するためのもの，例．ガンマ補正） H04N23/83（色信号に特に適したもの）,5C021
43,H04N5/205,3,振幅対周波数特性の補正のためのもの［４］,"【ＩＰＣタイトル】 for correcting amplitude versus frequency characteristic [4, 2006.01] 周波数特性を持つ振幅補正回路。例：ノイズ量に応じ帯域を変えるもの",H04N5/93（記録再生用エンファシス、ディエンファシス回路）,5C021
44,H04N5/208,4,高周波成分の減衰を補償するためのもの，例．クリスプニング，開口ひずみ補正［４］,"【ＩＰＣタイトル】 for compensating for attenuation of high frequency components, e.g. crispening, aperture distortion correction [4, 2006.01] ・アパーチャ補正回路 ・輪郭補正回路、輪郭強調回路","H04N9/68,103@A-Z　（色信号の輪郭強調回路）",5C021
45,H04N5/21,2,妨害，例．モアレまたはハロー,"【ＩＰＣタイトル】 Circuitry for suppressing or minimising disturbance, e.g. moire or halo [1, 2006.01]",-,5C021
46,"H04N5/21,010",3,ゴースト信号の消去　（Ｈ０４Ｎ５／２１７が優先）,-,-,5C021
47,H04N5/213,3,インパルス性雑音を抑制または最小にする回路（画像信号生成の妨害を抑制または最小にするためのものＨ０４Ｎ２３／８１）［２００６．０１］,【ＩＰＣタイトル】 Circuitry for suppressing or minimising impulsive noise (for suppressing or minimising disturbance in image signal generation H04N 23/81)[2023.01],H04N 23/81（画像信号生成の妨害を抑制または最小にするためのもの）,5C021
48,H04N5/222,1,スタジオ回路；スタジオ装置；スタジオ機器（電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御Ｈ０４Ｎ２３／００）［２００６．０１］,"【ＩＰＣタイトル】 Studio circuitry; Studio devices; Studio equipment [4, 2006.01]",H04H60/02（放送情報の作成のための配置；放送情報または放送時空に直接結合する放送関連情報の作成のための配置；放送情報と放送関連情報の同時作成のための配置）,5C122
49,"H04N5/222,100",2,テレビジョンカメラの架台，例．雲台またはペデスタル,ドローン、ＵＡＶに搭載されたものにも付与されている。,G03B17/56（付属装置） F16M11/00（その上に置かれた装置；物品を支持するスタンドまたはきゃたつ） F16M13/00（装置または物品を位置づけるための他の支持体）,5C122
50,"H04N5/222,200",2,プロンプタ,-,-,5C122
51,"H04N5/222,300",2,書画カメラ,黒板、ホワイトボード、ポスター、絵画、本を撮影するものも含む。,G03B21/132（オーバーヘッド投映機，すなわち作動中に文字や画の手書きを投映できるもの） H04N1/00（経時的変化を伴わない画像またはパターンの伝送または再生）,5C122
52,"H04N5/222,400",2,仮想スタジオアプリケーションに関連するもの,-,-,5C122
53,"H04N5/222,500",2,写真プリント装置,-,G07F17/26（印刷，スタンプ，署名，タイプまたはテレ印刷装置に関するもの） G03B17/53（露光の動機となる信号が与えられた後で仕上り画像を自動的に作成するもの） H04N5/76-956（テレビジョン信号の記録）,5C122
54,"H04N5/222,800",2,映画制作に用いられるビデオアシストシステム，例．映画制作用カメラのビューファインダに接続されるビデオカメラまたはビデオ信号処理に関連するビデオカメラ,-,-,5C122
55,H04N5/253,2,映画フィルムまたはスライドオペークの走査による映像信号の発生，例．テレシネのためのもの（その走査の細部Ｈ０４Ｎ３／３６）［４］,"【ＩＰＣタイトル】 Picture signal generating by scanning motion picture films or slide opaques, e.g. for telecine (scanning details therefor H04N 3/36) [4, 2006.01] 映画フィルムまたはスライドの走査による映像信号の発生；テレシネ",H04N3/36（映画フィルムの走査） H04N5/87（テレビジョン信号から映画フィルムの作製） H04N9/11（カラー映画フィルムの走査） G03B21/11（映写機（マイクロフィルム読取用））,5C122
56,H04N5/257,2,飛点走査器を用いる映像信号の発生（Ｈ０４Ｎ５／２５３が優先）［４］,"【ＩＰＣタイトル】 Picture signal generators using flying-spot scanners (H04N 5/253 takes precedence) [4, 2006.01] 飛点走査器（フライングスポットスキャナ）を用いる映像信号の発生",-,5C122
57,H04N5/262,2,スタジオ回路，例．ミキシング，切換え，像の特質の変更，別の特殊効果のためのもの［４］,"【ＩＰＣタイトル】 Studio circuits, e.g. for mixing, switching-over, change of character of image, other special effects [4, 2006.01] スタジオ回路すなわち、ＴＶ信号（自然画）に特殊効果を付与するための「回路」。 フェードイン、フェードアウト、ディゾルブ（クロスフェード）、モザイク模様、特殊効果としての画面の拡大、縮小、移動（スクロール）、その他の特殊効果及び特殊効果を伴う編集。",H04N5/04（同期） H04N5/225（テレビカメラ） H04N5/44（受信機回路） H04N9/74@Z（カラーの特殊効果） H04N5/91@N（記録された映像の編集） G06T3/00-3/40 G09G5/00（表示装置の制御・回路）,5C023
58,"H04N5/262,010",3,撮像期間の特殊効果の電子的生成に特に適合するカメラ，例．特殊効果機能を有するデジタルカメラ，カムコーダまたはビデオカメラ,-,-,5C023
59,"H04N5/262,020",3,映像部分間の区間における信号振幅遷移，例．ソフトエッジ,-,-,5C023
60,"H04N5/262,040",3,複数の入力映像全体で構成される映像を得るためのもの，例．分割画面,-,-,5C023
61,"H04N5/262,050",3,経時的映像シーケンスから構成される映像を得るためのもの，例．ストロボ効果用（イベント発生時の捕捉により生成したシーケンスＨ０４Ｎ７／１８）,-,-,5C023
62,"H04N5/262,070",4,スピン映像効果，３Ｄストップモーション効果または一時的フリーズ効果のためのもの（２Ｄ映像アニメーション一般　Ｇ０６Ｔ１３／８０）,-,-,5C023
63,"H04N5/262,080",3,ピクチャサイズ，形状，位置または方向の変更，例．ズーミング，ローテーション，ローリング，透視，移動,-,-,5C023
64,H04N5/265,3,ミキシング［４］,"【ＩＰＣタイトル】 Mixing [4, 2006.01] 画面の分割、画面の挿入(ピクチャーｉｎピクチャーなど)、ワイプ、画面と画面の合成（パノラマ合成も含む）",H04N5/45（受信機回路、ピクチャーｉｎピクチャー） G09G5/14（多数のビューポートの表示） H04N9/74（カラー映像信号の特殊効果） G06T3/00,5C023
65,H04N5/268,3,信号の分配または切換え［４］,"【ＩＰＣタイトル】 Signal distribution or switching [4, 2006.01] スタジオ内に設けられるスイッチャ、信号切換や信号分配のための回路",H04N5/44（受信機回路） H04H7/00（スタジオ設備） H03K17/00,5C023
66,H04N5/272,3,背景の像の中に前景の像を挿入するための手段，すなわち．インレイ，アウトレイ［４］,"【ＩＰＣタイトル】 Means for inserting a foreground image in a background image, i.e. inlay, outlay [4, 2006.01] 像、オブジェクトの形を検出し、他の画像（背景画像）にはめ込むためのもの、インレイ、アウトレイ",H04N5/45（受信機回路、映像の中に他の映像） H04N9/75（カラーの特殊効果、クロマキー） G06T3/00,5C023
67,"H04N5/272,030",4,仮想広告の挿入；シーンに実在する広告を仮想広告に置換えるもの（特にマーケティングに適合するデータ処理システムまたは方法　Ｇ０６Ｑ３０／０２）,-,-,5C023
68,H04N5/275,4,キーイング信号の発生［４］,"【ＩＰＣタイトル】 Generation of keying signals [4, 2006.01] 像のはめ込みのためのキーイング信号の発生",H04N5/45（受信機回路、映像の中に他の映像） H04N9/75（カラーの特殊効果、クロマキー） G06T3/00,5C023
69,H04N5/278,3,字幕の挿入［４］,"【ＩＰＣタイトル】 Subtitling [4, 2006.01] 文字、図形等の挿入、スーパーインポーズ、挿入する文字・図形等の処理、エッジシャドウなど その他、テロップの検出を含む（2006.06.29）",H04N5/445@A（受信機回路の受信チャンネル表示） H04N5/445@Z（受信機回路の付加的情報表示） H04N9/74@Z（カラーの特殊効果、その他） G09G5/00（表示装置の制御・回路） G10K15/04（カラオケ）,5C023
70,H04N5/28,2,移動スタジオ,"【ＩＰＣタイトル】Mobile studios [1, 2006.01]",H04H7/02（移動スタジオ）,5C023
71,H04N5/30,1,光または類似信号から電気信号への変換（走査の細部Ｈ０４Ｎ３／００；電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御Ｈ０４Ｎ２３／００；固体撮像素子［ＳＳＩＳ］の回路，またはその制御Ｈ０４Ｎ２５／００）［２００６．０１］,"【ＩＰＣタイトル】 Transforming light or analogous information into electric information (scanning details H04N 3/00; cameras or camera modules comprising electronic image sensors, or control thereof H04N 23/00; circuitry of solid-state image sensors [SSIS], or control thereof H04N 25/00)［2023.01］ 光又は類似信号を変換して、テレビジョン映像信号（一歩譲って2次元画像信号）を発生させるもの。光、レーザー光による走査で固体撮像素子を使用したもの → 主5/30　副25/50。撮像管への電圧の印加 →　主23/40。機械的シャッタ、絞りを使用するもの →　主5/225　副5/30。フリッカの除去 →　23/81。撮像管用回路　カメラの光学系 →　5/225～5/238。1次元撮像素子（原稿読み取り用が主） →　1/028　1/04。撮像時の雑音除去 →　主5/14　5/21　副5/335@P。内視鏡 →　主A61B1/04 副G02B23/00。 内視鏡のシステム的なもの →　7/18。放射線画像情報の読み取り →　副5/30。 読み取った後の画像処理 →　A61B6/00。 X線潜像読み出し →　副5/30。画像検索 →　主G06F15/40。NMR →　主A61B10/00　副G01N24/08。撮像管 →　副H01J。光電変換素子の製造方法 →　主H01L27/14。",H04N23/00（電子イメージセンサを含むカメラまたはカメラモジュールおよびその制御） H04N25/00（固体撮像素子［ＳＳＩＳ］の回路，またはその制御） H04N25/50（固体撮像装置） H04N3/00(テレビジョン方式の走査の細部) G06F17/30（画像検索）A61B10/00（NMR）G01N24/08（NMR）A61B1/04 （内視鏡） H01J （撮像管）H01L27/14（光電変換素子の製造方法）G02B23/00（内視鏡）,5C024
72,H04N5/32,2,Ｘ線の変換（Ｘ線から画像信号を生成するためのカメラまたはカメラモジュールＨ０４Ｎ２３／３０；Ｘ線を画像信号に変換するためのＳＳＩＳの回路Ｈ０４Ｎ２５／３０）［２０２３．０１］,【ＩＰＣタイトル】 Transforming X-rays (cameras or camera modules for generating image signals from X-rays H04N 23/30; circuitry of solid-state image sensors [SSIS] for transforming X-rays into image signals H04N 25/30)[2023.01] X線変換に特徴があるもの（変換装置で“管”を用いないもの）。イメージインテンシファイアを用いるもの［X線　→　光学像　→　撮像］も含む。イメージインテンシファイア自体はH01J。X線装置 →　主H05G1/00。X線の照射を制御するもの →　主A61B6/00（放射線診断用機器）。フィルムの読取り、プレートにレーザービームをあてる　→　主G03B42/02。副A61B6/00 H04N1/04 H04N5/30。撮像部分の全体的なシステム →　主7/18。X線潜像読出し →　主A61B6/00　副5/30。X線によるフィルムへの記録 →　主G03B42/02。X線による材料の分析 →　主G01N23/02。X線管 →　主H01J35/00。X線光変換 →　主H01J31/50。X線撮像等 →　主H01J31/47。シンチレーションカメラ →　主G01T1/64。,"H04N23/30（Ｘ線から画像信号を生成するためのカメラまたはカメラモジュール） H04N25/30（Ｘ線を画像信号に変換するためのＳＳＩＳの回路） A61B6/00（放射線診断用機器,例．放射線治療と結合している装置） G01N23/04（Ｘ線，中性子線，の使用による材料の調査または分析のため画像を形成するもの） G01B15/00（波動性または粒子性放射線の使用によって特徴づけられた測定装置） H04N7/18（撮像部分の全体的なシステム） H05G1/00（X線装置）G03B42/02（フィルムの読取り、プレートにレーザビームをあてる、X線によるフィルムへの記録） G01N23/02（X線による材料の分析） H01J31/50（X線光変換）H01J31/47（X線撮像等）G01T1/164（シンチレーションカメラ）",5C024
73,"H04N5/32,050",3,サブトラクション像技法を使用するもの,-,-,5C024
74,H04N5/321,3,蛍光像の伝送を行うもの［５］,"【ＩＰＣタイトル】 with video transmission of fluoroscopic images [5, 2006.01]",-,5C024
75,H04N5/325,4,画像強調，例．エネルギーの異なる複数のＸ線を用いて得た画像を減算処理することによるもの［５］,"【ＩＰＣタイトル】 Image enhancement, e.g. by subtraction techniques using polyenergetic X-rays [5, 2006.01]",-,5C024
76,H04N5/33,2,赤外線の変換（赤外線から画像信号を生成するためのカメラまたはカメラモジュールＨ０４Ｎ２３／２０；赤外線を画像信号に変換するためのＳＳＩＳの回路Ｈ０４Ｎ２５／２０）［２０２３．０１］,【ＩＰＣタイトル】 Transforming infrared radiation (cameras or camera modules for generating image signals from infrared radiation H04N 23/20; circuitry of solid-state image sensors [SSIS] for transforming infrared radiation into image signals H04N 25/20)[2023.01] 赤外線撮像装置。放射温度計 →　主G01J5/48。赤外線警報装置 →　主G08B13/18。光学装置の走査系 → 主G02B26/10。光波以外の波による記録 →　主G03B42/00。赤外線撮像管 →　主H01J31/49　副5/33。放射線の検出 →　主H01J47/00。,H04N 23/20（赤外線から画像信号を生成するためのカメラまたはカメラモジュール） H04N 25/20（赤外線を画像信号に変換するためのＳＳＩＳの回路） G01J5/48（放射温度計）G08B13/18（赤外線警報装置）G02B26/10（光学装置の走査系）G03B42/00（光学以外の波による記録）H01J31/49（赤外線撮像管）H01J47/00（放射線の検出）,5C024
77,H04N5/38,1,送信機回路（Ｈ０４Ｎ５／１４が優先）［４］,"【ＩＰＣタイトル】 Transmitter circuitry (H04N 5/14 takes precedence) [1, 4, 2006.01] 送信のための映像と音声の合成送信用電力増幅器。 中継用送信機。 ビデオ機器におけるＲＦコンバータのＲＦ変換回路。",H04B1/04（送信機）,5C025
78,H04N5/40,2,変調回路,"【ＩＰＣタイトル】 Modulation circuits [1, 2006.01] 送信機回路の変調回路。 ＲＦ変調器。",-,5C025
79,H04N5/42,2,白黒またはカラー信号を任意に送信するためのもの,"【ＩＰＣタイトル】 for transmitting at will black-and-white or colour signals [1, 2006.01]",-,5C025
80,H04N5/44,1,受信機回路（Ｈ０４Ｎ５／１４が優先）［４，２０１１．０１］,-,-,5C025
81,H04N5/44@A,0,外部機器との接続（例．テレビ＋ＶＴＲ，Ｇ１１Ｂ３１／００，５４１Ｋ）（例．テレビ＋入力回路（衛星放送コンバ－タ，Ｈ０４Ｂ１／１８Ｋ））,ＶＴＲとの接続。 ＲＦジェネレータを備える機器との接続。 アンテナとの接続。,H04N5/765（記録装置と他の装置の間のインタフェース回路） G11B31/00（記録再生装置とその関係装置との関連動作のための装置）,5C025
82,H04N5/44@D,0,プログラム受信,受信予約タイマー。 タイマー録画予約。 プログラムをＣＲＴ表示するもの。,H04B1/06,5C025
83,H04N5/44@H,0,選局装置,映像搬送波と音声搬送波との周波数関係を利用した選局。同期信号の有無を利用した選局。,"H04N5/44,003（リモコン） H03J5/00（選択共振回路）",5C025
84,H04N5/44@J,1,サーチチューナ,サーチチューナ。オートチューニング。自動選局。,H03J7/10（自動周波数制御）,5C025
85,H04N5/44@K,0,チューナ回路,-,H04B1/16（チューナ回路一般）,5C025
86,H04N5/44@L,0,ＶＩＦ回路,ＶＩＦ（映像中間周波数）回路,H03J3/04 H03H9/64,5C025
87,H04N5/44@M,0,ミューティング,ミューティング。映像信号または音声信号を必要に応じて停止するもの。,H04B1/10,5C025
88,H04N5/44@Z,0,その他のもの,インターネット対応テレビ。 デジタル放送対応テレビ。 パソコン対応テレビ。 モニターテレビ。,H01Q3/24,5C025
89,"H04N5/44,001",2,デジタル変調ビデオ信号受信用,-,-,5C025
90,"H04N5/44,003",2,遠隔制御装置によってＴＶ受像機またはセットトップボックス［ＳＴＢ］を操作するためのユーザインターフェイス，例．グラフィカルユーザインターフェイス［ＧＵＩ］；そのための遠隔制御装置（遠隔制御によってＴＶ受像機の同調装置を制御するためのユーザインターフェイスＨ０３Ｊ９／００；遠隔制御装置一般Ｇ０８Ｃ）,-,H04N21/422(入力のみの周辺機器),5C025
91,"H04N5/44,046",2,特に白黒ＴＶに適応したＩＦ増幅回路（ＲＦ増幅一般Ｈ０３Ｆ３／１８９）,-,-,5C025
92,"H04N5/44,048",2,フレーム取込用,-,-,5C025
93,H04N5/445,2,付加的な情報を表示するためのもの（Ｈ０４Ｎ５／５０が優先）［４，２０１１．０１］,-,-,5C025
94,"H04N5/445,004",3,付加的情報発生器の回路細部，例．文字またはグラフィック信号発生器の細部，オーバーレイ混合回路（映像表示器用グラフィックパターン発生器Ｇ０９Ｇ５／３６；映像表示器用個別文字パターンの発生Ｇ０９Ｇ５／２４）,-,-,5C025
95,"H04N5/445,008",3,デジタルビデオ信号と多重化されたもの,-,-,5C025
96,"H04N5/445,013",3,一装置（例．ＴＶ受信機またはＶＣＲ）の単一機能を制御または表示するためのもの,-,-,5C025
97,"H04N5/445,043",3,メニュー形の表示装置（Ｈ０４Ｎ５／４４５，０８２，　Ｈ０４Ｎ５／４４５，０９１が優先）,-,-,5C025
98,"H04N5/445,082",3,付加的情報が遠隔制御機器で制御されるもの,-,-,5C025
99,"H04N5/445,091",3,付加的情報が表示装置に分割ウィンドウで表示されるもの，例．分割スクリーンディスプレイ,-,-,5C025
100,H04N5/45,3,映像の中に他の映像があるもの［４，２０１１．０１］,同時受信。 ＴＶ　ＩＮ　ＴＶ。 ＰＩＣ　ＩＮ　ＰＩＣ。 複数のＣＲＴを持つもの。 複数チャンネルの自動順次受信。,H04N5/265（画面の挿入、画面の分割）,5C025
101,H04N5/455,2,復調回路［４］,"【ＩＰＣタイトル】 Demodulation-circuits [4, 2006.01] 映像検波回路。 ＰＬＬ同期検波回路。",-,5C025
102,H04N5/46,2,２以上の標準方式の信号を任意に受信するためのもの（マルチスタンダード受信機の偏向回路Ｈ０４Ｎ３／２７）［４］,"【ＩＰＣタイトル】 for receiving on more than one standard at will (deflecting circuits of multi-standard receivers H04N 3/27) [1, 4, 2006.01] （１）ＮＴＳＣ、ＰＡＬ、ＳＥＣＡＭ等の二方式以上の信号を受信できる受像機。 （２）異なるアスベクト比の信号を受信できる受像機。  アスペクト比の変換。ワイドテレビ。",H04N3/27 H04N9/00@B H04N9/64 H04N7/01（標準方式の変換）,5C025
