No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
102,G01N33/48@S,0,試料採取,-,G01N1/（試料採取）,2G045
103,G01N33/48@T,0,生検用付属装置,-,-,2G045
104,G01N33/48@Z,0,その他のもの,データ処理も含む,-,2G045
105,G01N33/483,2,生物学的材料の物理的分析［２００６．０１］,-,-,2G045
106,G01N33/483@A,0,力学的,-,-,2G045
107,G01N33/483@B,0,音波的,-,-,2G045
108,G01N33/483@C,0,光学的,フローサイトメータ セルソータ,-,2G045
109,G01N33/483@D,0,熱的,-,-,2G045
110,G01N33/483@E,0,電気的，磁気的,マグメス答測定,-,2G045
111,G01N33/483@F,0,電気化学的,-,-,2G045
112,G01N33/483@Z,0,その他のもの,-,-,2G045
113,G01N33/487,3,液体状生物学的材料のもの［２００６．０１］,-,-,2G045
114,G01N33/49,4,血液［２００６．０１］,-,G06K（パターン認識） G01N15/10（粒子の計数） G01N27（電気的調査分析） G01N15/05（血液の沈降調査） G01N27/26（電気化学的調査分析）,2G045
115,G01N33/49@A,0,血球分析,-,-,2G045
116,G01N33/49@B,1,ヘマトクリット,-,-,2G045
117,G01N33/49@C,1,血沈計,-,-,2G045
118,G01N33/49@E,0,血球計,-,G01N15粒子の調査,2G045
119,G01N33/49@F,1,電気的,クールターカウンター,-,2G045
120,G01N33/49@H,1,光学的,-,-,2G045
121,G01N33/49@G,1,装置及び付属品,-,-,2G045
122,G01N33/49@J,2,計算盤,-,-,2G045
123,G01N33/49@K,0,光学的手段,フローサイトメトリー,-,2G045
124,G01N33/49@S,0,希釈液及び希釈手段,-,-,2G045
125,G01N33/49@W,0,血液ガス,-,-,2G045
126,G01N33/49@X,0,血小板,-,-,2G045
127,G01N33/49@Y,0,データ処理,-,G06F13/14データ転送,2G045
128,G01N33/49@Z,0,その他のもの,-,-,2G045
129,G01N33/493,4,尿［２００６．０１］,-,-,2G045
130,G01N33/493@A,0,尿中成分検出,-,-,2G045
131,G01N33/493@B,0,尿検査装置,-,A61B5/20泌尿器機能の検査,2G045
132,G01N33/493@Z,0,その他のもの,-,-,2G045
133,G01N33/497,3,気体状生物学的材料，例．呼気，のもの［２００６．０１］,-,-,2G045
134,G01N33/497@A,0,呼気,-,-,2G045
135,G01N33/497@B,1,口臭,-,-,2G045
136,G01N33/497@C,0,動植物の呼気,-,-,2G045
137,G01N33/497@D,0,臭気,-,-,2G045
138,G01N33/497@Z,0,その他のもの,-,-,2G045
139,G01N33/50,2,生物学的材料，例．血液，尿，の化学分析；生物学的特異性を有する配位子結合方法を含む試験；免疫学的試験（酵素または微生物を含む免疫学的なもの以外の測定または試験方法，そのための組成物または試験紙；そのような組成物を形成する方法，微生物学的方法または酵素学的方法における条件応答制御Ｃ１２Ｑ）［２００６．０１］,-,-,2G045
140,G01N33/50@A,0,尿酸を含むもの,-,-,2G045
141,G01N33/50@B,0,アンモニアまたはアミンを含むもの,-,-,2G045
142,G01N33/50@C,0,ウロビリノーゲンを含むもの,-,-,2G045
143,G01N33/50@D,0,脂肪酸を含むもの,-,-,2G045
144,G01N33/50@E,0,過酸化物質，過酸化水素を含むもの,-,-,2G045
145,G01N33/50@F,0,血液，血清以外の標準物質,-,-,2G045
146,G01N33/50@G,0,歯こう，唾液,-,-,2G045
147,G01N33/50@H,0,毛髪,-,-,2G045
148,G01N33/50@J,0,遺伝，妊娠,-,-,2G045
149,G01N33/50@K,0,Ｔ，Ｂ細胞等のリンパ球,-,-,2G045
150,G01N33/50@L,0,溶血,-,-,2G045
151,G01N33/50@M,0,漏血,-,-,2G045
152,G01N33/50@N,0,潜血,便潜血、検便用テープ,-,2G045
153,G01N33/50@P,0,核酸,-,-,2G045
154,G01N33/50@R,0,尿，成分が特定されないもの,-,-,2G045
155,G01N33/50@S,0,胆汁酸,-,-,2G045
156,G01N33/50@T,0,診断組成物,-,-,2G045
157,G01N33/50@Q,0,皮膚,-,-,2G045
158,G01N33/50@U,0,クロマトグラフィーに関するもの,-,G01N30クロマトグラフィーを用いる分析,2G045
159,G01N33/50@X,0,涙，汗，骨，眼，たんに関するもの,-,-,2G045
160,G01N33/50@Z,0,その他のもの,-,-,2G045
161,G01N33/52,3,比色計による調査または分光光度計による調査またはけい光分析計による調査のための化合物または組成物の使用，例．試験紙の使用［２００６．０１］,-,-,2G045
162,G01N33/52@A,0,比色分析,-,-,2G045
163,G01N33/52@B,0,試験紙を用いるもの,スライド含む,G01N31/22試験紙,2G045
164,G01N33/52@C,0,特定の化学物質の分析,-,-,2G045
165,G01N33/52@Z,0,その他のもの,-,-,2G045
166,G01N33/53,3,免疫分析；生物学的特異的結合分析；そのための物質［２００６．０１］,-,ペプチドA61K39/00（抗原または抗体を含有する医薬品製剤） C12Q（酵素または微生物を含むもの） C12M1/40（固定化酵素） C12N11/00（固定化酵素） C12N15/00（遺伝子工学） C07G（構造不明の化合物） C07H（糖類） C07J（ステロイド） C08L（高分子ラテックス）,2G045
167,G01N33/53@A,0,ステロイドまたはステロイドホルモン,-,-,2G045
168,G01N33/53@B,0,タンパク質ホルモン，ポリペプチドホルモン,-,-,2G045
169,G01N33/53@C,1,ＨＣＧ,-,-,2G045
170,G01N33/53@D,0,タンパク質，ポリペプチド,-,-,2G045
171,G01N33/53@V,1,糖タンパク質,-,-,2G045
172,G01N33/53@W,1,リポタンパク質,-,-,2G045
173,G01N33/53@X,1,ＣＲＰ,-,-,2G045
174,G01N33/53@E,0,甲状腺ホルモン及び，結合性タンパクとの遊離結合部分の分析,-,-,2G045
175,G01N33/53@F,0,その他のホルモン,-,-,2G045
176,G01N33/53@G,0,薬物,-,-,2G045
177,G01N33/53@H,0,ビタミンまたは補酵素,-,-,2G045
178,G01N33/53@J,0,ハプテン一般,-,-,2G045
179,G01N33/53@K,0,血液細胞，血液型，適合性,-,-,2G045
180,G01N33/53@L,0,血液凝固因子,-,-,2G045
181,G01N33/53@M,0,核酸,-,-,2G045
182,G01N33/53@N,0,免疫グロブリン,-,-,2G045
183,G01N33/53@P,0,リンホカイン，例．インターフェロン，インターロイキン,-,-,2G045
184,G01N33/53@Q,0,アレルギー,-,-,2G045
185,G01N33/53@Y,0,組織，細胞,-,-,2G045
186,G01N33/53@R,0,補体を含むもの，クームス試験,-,-,2G045
187,G01N33/53@U,0,アビジン．ビオチンを含むもの,-,-,2G045
188,G01N33/53@S,0,その他の特定対象,-,-,2G045
189,G01N33/53@T,0,他に分類されない装置,-,-,2G045
190,G01N33/53@Z,0,その他,-,-,2G045
191,G01N33/531,4,免疫化学的試験物質の製造［２００６．０１］,-,タンパク質はC07K15 医薬用タンパクはA61K39,2G045
192,G01N33/531@A,0,抗体又は抗原一般,-,-,2G045
193,G01N33/531@B,0,試験用媒体,-,-,2G045
194,G01N33/531@Z,0,その他のもの,-,-,2G045
195,G01N33/532,5,標識免疫化学物質の製造［２００６．０１］,-,-,2G045
196,G01N33/532@A,0,標識一般,-,-,2G045
197,G01N33/532@B,0,化学ルミネセンス，生物ルミネセンス標識,-,-,2G045
198,G01N33/532@Z,0,その他,-,-,2G045
199,G01N33/533,6,蛍光標識を有するもの［２００６．０１］,-,-,2G045
200,G01N33/534,6,放射性標識を有するもの［２００６．０１］,-,-,2G045
201,G01N33/535,6,酵素標識を有するもの［２００６．０１］,-,-,2G045
202,G01N33/536,4,液相中に形成された免疫複合体によるもの［２００６．０１］,-,-,2G045
203,G01N33/536@A,0,標識物質を含むもの,-,-,2G045
204,G01N33/536@B,1,放射性標識,-,-,2G045
205,G01N33/536@C,1,酵素標識,-,-,2G045
206,G01N33/536@D,1,蛍光標識,-,-,2G045
207,G01N33/536@E,1,その他の標識,-,-,2G045
208,G01N33/536@F,0,濁りを光学的に測定するもの,-,G01N33/557に関連 担体を用いるものは、G01N33/543，５８１に関連,2G045
209,G01N33/536@Z,0,その他,-,-,2G045
210,G01N33/537,5,未結合抗原または抗体から免疫複合体を分離することによるもの［２００６．０１］,-,-,2G045
211,G01N33/538,6,収着カラム，粒子または樹脂片によるもの［２００６．０１］,-,-,2G045
212,G01N33/539,6,沈澱試薬を含むもの［２００６．０１］,-,-,2G045
213,G01N33/541,7,二重または第二抗体［２００６．０１］,-,-,2G045
214,G01N33/542,5,立体的阻害または信号の変更，例．蛍光偏光解消，によるもの［２００６．０１］,均一系の免疫分析 Ｂ／Ｆ分離を必要としないもの。,-,2G045
215,G01N33/542@A,0,蛍光標識を用いるもの,蛍光偏光解消等,-,2G045
216,G01N33/542@B,0,酵素標識を用いるもの,酵素や、酵素反応系関与物を標識としたもの,-,2G045
217,G01N33/542@Z,0,その他のもの,-,-,2G045
218,G01N33/543,4,免疫化学物質を固定化するための不溶性担体によるもの［２００６．０１］,担体、固相を利用した免疫分析,-,2G045
219,"G01N33/543,501",5,標識物質を含むもの,-,-,2G045
220,"G01N33/543,501@A",0,反応形式一般,-,-,2G045
221,"G01N33/543,501@B",0,反応条件に特徴のあるもの，例．温度，ｐＨ，反応時間,-,-,2G045
222,"G01N33/543,501@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
223,"G01N33/543,501@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１＠Ｂも付与）,-,G01N33/531@B,2G045
224,"G01N33/543,501@F",0,Ｂ／Ｆ分離方法に特徴，担体を使用しているもののみに限定（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537－G01N33/541,2G045
225,"G01N33/543,501@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
226,"G01N33/543,501@P",0,信号変調により測定，例．標識の変調,-,-,2G045
227,"G01N33/543,501@H",0,測定試料の前処理に特徴,-,-,2G045
228,"G01N33/543,501@J",0,干渉防止，非特異的結合防止（担体に対する処理を含む場合はＧ０１Ｎ３３／５４３，５２５＠Ｗも付与；反応媒体に特別な物質が存在する場合はＧ０１Ｎ３３／５４３，５０１＠Ｍも付与）,-,G01N33/543，525@W,2G045
229,"G01N33/543,501@K",0,試薬保存に工夫,-,-,2G045
230,"G01N33/543,501@L",0,補正，対象等のとりかたに特徴,-,-,2G045
231,"G01N33/543,501@Z",0,その他,-,-,2G045
232,"G01N33/543,511",6,競合反応によるもの,-,-,2G045
233,"G01N33/543,511@A",0,反応形式一般,-,-,2G045
234,"G01N33/543,511@B",0,反応条件に特徴のあるもの，例．温度，ｐＨ，反応時間,-,-,2G045
235,"G01N33/543,511@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
236,"G01N33/543,511@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１＠Ｂも付与）,-,G01N33/531@B,2G045
237,"G01N33/543,511@F",0,Ｂ／Ｆ分離方法に特徴，担体を使用しているもののみに限定（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537～G01N33/541,2G045
238,"G01N33/543,511@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
239,"G01N33/543,511@P",0,信号変調により測定，例．標識の変調,-,-,2G045
240,"G01N33/543,511@H",0,測定試料の前処理に特徴,-,-,2G045
241,"G01N33/543,511@J",0,干渉防止，非特異的結合防止（担体に対する処理を含む場合はＧ０１Ｎ３３／５４３，５２５Ｗ＠も付与；反応媒体に特別な物質が存在する場合はＧ０１Ｎ３３／５４３，５１１＠Ｍも付与）,-,G01N33/543，525@W,2G045
242,"G01N33/543,511@K",0,試薬保存に工夫,-,-,2G045
243,"G01N33/543,511@L",0,補正，対象等のとりかたに特徴,-,-,2G045
244,"G01N33/543,511@Z",0,その他,-,-,2G045
245,"G01N33/543,515",6,非競合反応によるもの,-,-,2G045
246,"G01N33/543,515@A",0,反応形式一般,-,-,2G045
247,"G01N33/543,515@B",0,反応条件に特徴のあるもの，例．温度，ｐＨ，反応時間,-,-,2G045
248,"G01N33/543,515@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
249,"G01N33/543,515@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１＠Ｂも付与）,-,G01N33/531@B,2G045
250,"G01N33/543,515@F",0,Ｂ／Ｆ分離方法に特徴，担体を使用しているもののみに限定（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537～G01N33/541,2G045
251,"G01N33/543,515@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
252,"G01N33/543,515@P",0,信号変調により測定，例．標識の変調,-,-,2G045
253,"G01N33/543,515@H",0,測定試料の前処理に特徴,-,-,2G045
254,"G01N33/543,515@J",0,干渉防止，非特異的結合防止（担体に対する処理を含む場合はＧ０１Ｎ３３／５４３，５２５＠Ｗも付与；反応媒体に特別な物質が存在する場合はＧ０１Ｎ３３／５４３，５１５＠Ｍも付与）,-,G01N33/543，525@W,2G045
255,"G01N33/543,515@K",0,試薬保存に工夫,-,-,2G045
256,"G01N33/543,515@L",0,補正，対象等のとりかたに特徴,-,-,2G045
257,"G01N33/543,515@Z",0,その他,-,-,2G045
258,"G01N33/543,521",6,担体の形状または形態に特徴のあるもの,-,-,2G045
259,"G01N33/543,525",6,担体の処理または性質に特徴のあるもの,-,-,2G045
260,"G01N33/543,525@W",0,担体の処理に特徴（コーテイングに関係するものはＧ０１Ｎ３３／５４３，５２５＠Ｕも付与）,-,G01N33/543，525@U,2G045
261,"G01N33/543,525@C",0,担体の性質に特徴，例．粒径の大きさ，マトリクス構造（形状や形態はＧ０１Ｎ３３／５４３，５２１，Ｇ０１Ｎ３３／５４３，５６１が優先；材質に特徴のあるものはＧ０１Ｎ３３／５４４～Ｇ０１Ｎ３３／５５６が優先）,-,G01N33/543，521,2G045
262,"G01N33/543,525@U",1,担体の表面に工夫があるもの（処理も含まれるものはＧ０１Ｎ３３／５４３，５２５＠Ｗも付与）,-,G01N33/543，525@W,2G045
263,"G01N33/543,525@E",0,固相－抗体または抗原，抗体または抗原－標識の結合間に介在する物質が存在するもの（Ｇ０１Ｎ３３／５４７が優先）,-,G01N33/547架橋剤により担体に結合した抗原または抗体によるもの,2G045
264,"G01N33/543,525@G",0,固相試薬製造に特徴（固相以外はＧ０１Ｎ３３／５３１が優先；製造の際，担体の処理，コーティングに特徴のあるものはＧ０１Ｎ３３／５４３，５２５＠Ｗも付与）,-,G01N33/531免疫化学的試験物質の製造,2G045
265,"G01N33/543,525@Z",0,その他,-,-,2G045
266,"G01N33/543,531",6,担体の取扱い，自動分析,-,-,2G045
267,"G01N33/543,541",6,標識に特徴のあるもの,-,-,2G045
268,"G01N33/543,541@A",0,磁気標識,-,G01N33/553金属または金属皮膜,2G045
269,"G01N33/543,541@B",0,放射性標識,-,-,2G045
270,"G01N33/543,541@Z",0,その他,-,-,2G045
271,"G01N33/543,545",7,酵素標識，例．信号発生に酵素が関与するもの,-,-,2G045
272,"G01N33/543,545@A",0,反応形式一般,-,-,2G045
273,"G01N33/543,545@B",0,反応条件に特徴のあるもの，例．温度，ｐＨまたは反応時間,-,-,2G045
274,"G01N33/543,545@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
275,"G01N33/543,545@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１＠Ｂも付与）,-,G01N33/531@B,2G045
276,"G01N33/543,545@F",0,Ｂ／Ｆ分離方法に特徴，担体を使用しているもののみに限定（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537～G01N33/541,2G045
277,"G01N33/543,545@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
278,"G01N33/543,545@P",0,信号変調により測定，例．酵素の活性部位阻害を利用,-,-,2G045
279,"G01N33/543,545@H",0,測定試料の前処理に特徴,-,-,2G045
280,"G01N33/543,545@J",0,干渉防止，非特異的結合防止（担体に対する処理を含む場合はＧ０１Ｎ３３／５４３，５６５＠Ｗも付与；反応媒体に特別な物質が存在する場合はＧ０１Ｎ３３／５４３，５４５＠Ｍも付与）,-,G01N33/543，565@W,2G045
281,"G01N33/543,545@K",0,試薬保存に工夫,-,-,2G045
282,"G01N33/543,545@L",0,補正，対象等のとりかたに特徴,-,-,2G045
283,"G01N33/543,545@S",0,酵素自体，基質に特徴,-,-,2G045
284,"G01N33/543,545@T",0,複数の酵素使用,-,-,2G045
285,"G01N33/543,545@Z",0,その他,-,-,2G045
286,"G01N33/543,551",8,競合反応によるもの,-,-,2G045
287,"G01N33/543,551@A",0,反応形式一般,-,-,2G045
288,"G01N33/543,551@B",0,反応条件に特徴のあるもの，例．温度，ｐＨまたは反応時間,-,-,2G045
289,"G01N33/543,551@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
290,"G01N33/543,551@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１Ｂも付与）,-,G01N33/531@B,2G045
291,"G01N33/543,551@F",0,Ｂ／Ｆ分離方法に特徴（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537～G01N33/541,2G045
292,"G01N33/543,551@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
293,"G01N33/543,551@P",0,信号変調により測定，例．酵素の活性部位阻害を利用,-,-,2G045
294,"G01N33/543,551@H",0,測定試料の前処理に特徴,-,-,2G045
295,"G01N33/543,551@J",0,干渉防止，非特異的結合防止（担体に対する処理を含む場合はＧ０１Ｎ３３／５４３，５６５Ｗも付与；反応媒体に特別な物質が存在する場合はＧ０１Ｎ３３／５４３，５５１Ｍも付与）,-,G01N33/543，565@W,2G045
296,"G01N33/543,551@K",0,試薬保存に工夫,-,-,2G045
297,"G01N33/543,551@L",0,補正，対象等のとりかたに特徴,-,-,2G045
298,"G01N33/543,551@S",0,酵素自体、基質に特徴,-,-,2G045
299,"G01N33/543,551@T",0,複数の酵素使用,-,-,2G045
300,"G01N33/543,551@Z",0,その他,-,-,2G045
301,"G01N33/543,555",8,非競合反応によるもの,-,-,2G045
302,"G01N33/543,555@A",0,反応形式一般,-,-,2G045
303,"G01N33/543,555@B",0,反応条件に特徴のあるもの，例．温度，ｐＨまたは反応時間,-,-,2G045
304,"G01N33/543,555@D",0,試薬自身，試薬の組合わせに特徴，例．複数試料測定用,-,-,2G045
305,"G01N33/543,555@M",0,反応媒体に特徴（固相法，液相法どちらにも使用できるものはＧ０１Ｎ３３／５３１Ｂも付与）,-,G01N33/531@B,2G045
306,"G01N33/543,555@F",0,Ｂ／Ｆ分離方法に特徴，担体を使用しているもののみに限定（液相法はＧ０１Ｎ３３／５３７～Ｇ０１Ｎ３３／５４１が優先）,-,G01N33/537～G01N33/541,2G045
307,"G01N33/543,555@N",0,抗原抗体間の親和性の違いに特徴,-,-,2G045
308,"G01N33/543,555@P",0,信号変調により測定，例．酵素の活性部位阻害を利用,-,-,2G045
