No.,FI/ファセット,ドット,説明,補足説明,関連分野,テーマコード
11,G06Q10/0635,3,企業または組織活動のリスク分析［２０２３．０１］,【ＩＰＣタイトル】Risk analysis of enterprise or organisation activities [2023.01] 主に、企業活動に悪影響を及ぼす要因の分析や、その予防策の特定に関するもの。ただし、金融における信用やローンに関するリスクの評価は、他の分類を付与する。,-,5L010
12,G06Q10/0637,3,戦略の管理または分析，例．組織の最終目標または目標の設定；目標に基づく活動計画；目標の有効性に関する分析または評価［２０２３．０１］,"【ＩＰＣタイトル】Strategic management or analysis, e.g. setting a goal or target of an organisation; Planning actions based on goals; Analysis or evaluation of effectiveness of goals [2023.01] 主に、ビジネス全体の方向性の提供に関するもの（ビジネスのビジョンや目標の設定、行動計画の策定、ビジョン等の評価）。",-,5L010
13,G06Q10/0639,3,従業員のパフォーマンス分析；企業または組織運営のパフォーマンス分析［２０２３．０１］,従業員あるいは事業または組織の活動によって雇用された他のエンティティの効率性、生産性、パフォーマンス等の評価に関するもの。,-,5L010
14,G06Q10/067,2,企業または組織のモデル化［２０２３．０１］,【ＩＰＣタイトル】Enterprise or organisation modelling [2023.01] ビジネスにおけるオペレーションやファンクションのシミュレーションに関するもの。,-,5L010
15,G06Q10/08,1,ロジスティックス，例．倉庫，積み荷または配達；資材または在庫管理［２０２４．０１］,"【ＩＰＣタイトル】Logistics, e.g. warehousing, loading, distribution or shipping; Inventory or stock management, e.g. order filling, procurement or balancing against orders [2024.01] 物流に特に適合した情報通信技術(ICT)。例．倉庫，積み荷，配達または輸送（異なる場所間での材料/製品の移動を伴うもの）。在庫管理、例、注文処理、注文に対する調達または調整のためのものは、特にG06Q10/083に分類される。",-,5L010
16,G06Q10/083,2,輸送［２０２４．０１］,【ＩＰＣタイトル】Shipping [2023.01] 商品やアイテムの配達、あるいは配達状況を監視するためのもの。,-,5L010
17,"G06Q10/083,320",3,履歴データ,顧客データ、確立経路、積荷履歴、コスト情報のような、輸送取引において収集された情報の保持あるいは追跡。,-,5L010
18,G06Q10/0831,3,海外取引［２０２３．０１］,【ＩＰＣタイトル】Overseas transactions [2023.01] 輸出品の輸送を管理するためのもの。,-,5L010
19,G06Q10/0832,3,特別商品または特別取扱手続，例．危険品または易損品の取扱い［２０２３．０１］,"【ＩＰＣタイトル】Special goods or special handling procedures, e.g. handling of hazardous or fragile goods [2023.01] 特別な取り扱いを必要とするもの。例．冷蔵車による商品輸送、あるいは危険物または精密な材料を扱うための特別なパッキングまたは輸送手段。",-,5L010
20,G06Q10/0833,3,追跡［２０２３．０１］,【ＩＰＣタイトル】Tracking [2023.01] 商品の位置を特定するためのもの。,-,5L010
21,G06Q10/0834,3,運送者の選択［２０２３．０１］,【ＩＰＣタイトル】Choice of carriers [2023.01] 荷主またはサプライヤが運送者を決めるためのもの。,-,5L010
22,G06Q10/0835,3,荷主またはサプライヤと運送者との関係［２０２３．０１］,【ＩＰＣタイトル】Relationships between shipper or supplier and carriers [2023.01] 荷主またはサプライヤと運送者との間の取引に関するもの。,-,5L010
23,G06Q10/0836,3,受取人によるピックアップ［２０２３．０１］,【ＩＰＣタイトル】Recipient pick-ups [2023.01] 受取人が配送商品を集中した場所でピックアップできるように取り扱いを管理するためのもの。,-,5L010
24,G06Q10/0837,3,返品取引［２０２３．０１］,【ＩＰＣタイトル】Return transactions [2023.01] 返品処理のためのもの。,-,5L010
25,G06Q10/087,2,資材または在庫管理，例．注文の履行，注文に対する調達または調整［２０２３．０１］,"【ＩＰＣタイトル】Inventory or stock management, e.g. order filling, procurement or balancing against orders [2023.01] 在庫管理に特に適合したICT。このグループでは事業環境における在庫管理、在庫品からの注文処理、ある場所における資源の位置記録管理、在庫量管理、腐りやすいものや危険なものの保管期間管理、商品の貯蔵記録の確立、整備、あるいは更新などが包含される。",-,5L010
26,G06Q10/0875,3,部品，供給品またはサービスの項目別仕分けまたは分類，例．部品表［２０２３．０１］,"【ＩＰＣタイトル】Itemisation or classification of parts, supplies or services, e.g. bill of materials [2023.01] 組織において必要とされる構成要素（部品等）の項目別リストの生成のためのもの。",-,5L010
27,G06Q10/10,1,オフィスオートメーション；時間管理［２０２３．０１］,【ＩＰＣタイトル】Office automation; Time management [2023.01] オフィスオートメーション；人的資源(従業員の管理，契約，レポート，求人への応募等に関するもの)；共同作業に特に用いられる業務用ソフトウェア(グループウェア)、例えば業務上の書類フロー(作成，決裁，送付)を電子化したもの。以下の主題が包含されるが、このリストがすべてを網羅しているわけではない。オフィス環境における自動化(例. コンピュータを用いた定型文書作成／ワークフロー)；契約の自動化；共同制作(例.製品またはサービスの共同開発)；人的資源。,G06F16/176 ファイル共有サポート G06F16/93 文書管理システム G06F40/197 自然言語処理におけるバージョン制御 H04L51/00 ストアアンドフォワード転送またはリアルタイム転送プロトコルによる、パケット交換ネットワーク内のユーザ間のメッセージ転送(例:電子メール),5L010
28,"G06Q10/10,310",2,ワークフローの協働またはプロジェクト管理,主に、ワークフローの管理やプロジェクト管理に関するもの。労働力単位でのプロジェクトのルーティングまたは承認、あるいは資源(例．人的資源)の組織化や管理のためのもの。,-,5L010
29,G06Q10/101,2,共同制作，例．製品またはサービスの共同開発［２０２３．０１］,"【ＩＰＣタイトル】Collaborative creation, e.g. joint development of products or services [2023.01] 主に、複数の参加者による、製品・サービスのコンセプト開発に関するもの。",-,5L010
30,G06Q10/105,2,人的資源［２０２３．０１］,【ＩＰＣタイトル】Human resources [2023.01] 主に、人事情報や組織情報の記録・管理に関するもの。,-,5L010
31,G06Q10/1053,3,雇用または採用［２０２３．０１］,【ＩＰＣタイトル】Employment or hiring [2023.01] 主に、雇用や求人に関するもの。,-,5L010
32,G06Q10/1057,3,手当または従業員の福利厚生，例．保険，休暇または退職手当制度［２０２３．０１］,"【ＩＰＣタイトル】Benefits or employee welfare, e.g. insurance, holiday or retirement packages [2023.01] 主に、福利厚生に関するもの（健康保険、休暇、退職等）。",-,5L010
33,G06Q10/107,2,電子メール［ｅメール］のコンピューター支援管理［２０２３．０１］,【ＩＰＣタイトル】Computer-aided management of electronic mailing [e-mailing] [2023.01] 電子メールに基づくドキュメントワークフローとグループウェア、または、電子メールのコンピュータ支援管理のためのもの（主としてクライアント側でのもの）。このグループでは、電子メールを利用したドキュメントワークフローのようなオフィス環境の自動化、行政目的の電子メールのアーカイブ、電子メール処理、スパムフィルタリング、電子メールの受信前あるいは送信後に行われる行動の自動化などが包含される。,"5K030,5K084,H04L51/00 ストアアンドフォワード転送またはリアルタイム転送プロトコルによる，パケット交換ネットワーク内のユーザ間のメッセージ転送，例．電子メール［２０２２．０１］",5L010
34,G06Q10/109,2,時間管理，例．カレンダー，リマインダー，ミーティングまたは勤怠管理［２０２３．０１］,"【ＩＰＣタイトル】Time management, e.g. calendars, reminders, meetings or time accounting [2023.01] アポイントメント管理，例．利用可能な時間帯の明示、コンピュータによる補助、リマインダー、ミーティング。電子的なビジネスカード、カレンダーやアポイントメントを処理することにとりわけ適合したGUIなどが包含される。",-,5L010
35,G06Q10/1091,3,管理または経営目的での時間の記録［２０２３．０１］,【ＩＰＣタイトル】Recording time for administrative or management purposes [2023.01] 管理または経営目的での時間の記録に特に適合したアプリケーション。このグループの主題は、個人の労働時間の分析または割り当てを含む。このグループにおける時間の記録は、記録された時間に基づく管理など、利活用の観点を有する必要がある。装置としてのタイムレコーダは、G07C1/00で包含される。,G07C1/00 出来事の時間または経過時間の登録、表示または記録(例: タイムレコーダ) G06F40/18 テキスト処理：スプレッドシートの編集,5L010
36,G06Q10/1093,3,個人またはグループのためのカレンダーベースのスケジューリング［２０２３．０１］,【ＩＰＣタイトル】Calendar-based scheduling for persons or groups [2023.01] ミーティング、アポイントメント、タスクのための時間計画あるいは割り当て、場所割り当てのために個人またはグループによって利用される、日程や詳細を与える計画済みイベントや活動についてのリストやスケジュールの創作あるいは管理に関するもの。,-,5L010
37,G06Q10/20,1,製品補修またはメンテナンスの管理［２０２３．０１］,【ＩＰＣタイトル】Administration of product repair or maintenance [2023.01] 顧客にその人の製品になされるべきサービスを通知するためのシステムの開発または利用、あるいはその製品に行われているサービスの追跡や監視を主題とするもの。例．車のメンテナンス。,B60L53/60 充電ステーションの監視または制御B61L27/50 軌道側での診断または保守 B63B79/40 船舶の運行を制御するためのもの，例．速度，航路または保守スケジュールを監視するもの B64F5/00 航空機の設計，製作，組立，清掃，整備または修復に関するもので他に該当分類のないもの；他に分類されない航空機部品の取り扱い，運搬，試験または検査 B66B5/00 エレベータ内の検査，過失訂正または安全装置の応用F03D80/50 保全または修理 G16H40/00 ヘルスケア資源または設備の管理または運営に特に適合したＩＣＴ G06F16/21 データベースの設計，管理または保守 G07C5/00 乗物の稼動を登録または表示するもの H04L41/00 データ交換ネットワークの保守，運用または管理のための配置，例．パケット交換ネットワーク,5L010
38,G06Q10/30,1,製品リサイクルまたは処分の管理［２０２３．０１］,【ＩＰＣタイトル】Administration of product recycling or disposal [2023.01]利用されたもの、廃棄物等の再利用や除去のためのシステムの構築、維持に関するもの。,-,5L010
39,G06Q10/40,1,ソーシャル・ネットワーキングまたはソーシャル・ネットワーキング・サービスに関連するビジネス・プロセス［２０２６．０１］,"【再分類中】G06Q50/00,300から文献を再分類中 【ＩＰＣタイトル】Business processes related to social networking or social networking services [2026.01] ソーシャルネットワーキングまたはソーシャルネットワーキングサービスに関連するビジネスプロセスに特化した情報通信技術（ICT）。 以下のソーシャルネットワークが包含されるが、このリストがすべてを網羅しているわけではない。 ・ソーシャルメディアネットワーク； ・友人・知人ネットワーク： ・ピアラーナーネットワーク（学習者同士のネットワーク）； ・ビジネスネットワーク； ・ナレッジネットワーク： ・コラボレーショングラフ； ・職場関係； また、以下のソーシャルネットワーキングまたはソーシャルネットワーキングサービスに関連するビジネスプロセスが包含されるが、このリストがすべてを網羅しているわけではない。 ・1つ以上の共通の関係や関心によって結びつけられた個人、組織、またはエンティティの相互作用の管理； ・ソーシャルネットワーク、ソーシャルネットワーキングサービス、ソーシャルメディアの分析（例：社会構造の調査、ソーシャルネットワーク内の個人やエンティティ間の行動や関係の特徴付け）； ・1つ以上の共通の特徴を持つ個人、組織、またはエンティティを相互接続することによるソーシャルネットワークの構築や情報の共有・拡散； 用語集 この分類箇所では、以下の略語、用語、または表現が次に示された意味で使用されている。： ソーシャルネットワーキング：共通の関係や関心を持つ個人やエンティティ間の相互作用 ソーシャルネットワーキングサービス：ソーシャルネットワーキングやソーシャルメディアを実装するICTシステム、ツール、アプリケーション SM：ソーシャルメディア SN：ソーシャルネットワーク SNS：ソーシャルネットワーキングサービス ビジネスプロセス：商業的、金融的、産業的、または専門的な目的のために活動する組織や企業などの実態が行う業務または活動",G06F 16/95 データ型に依存しないデータベース機能の詳細、ウェブからの検索 H04L 12/18 ブロードキャストや会議のためのデータ交換ネットワーク H04L 51/04 パケット交換ネットワークにおけるユーザー間メッセージング、リアルタイムまたはほぼリアルタイムのメッセージング（例：インスタントメッセージ） H04L 51/52 パケット交換ネットワークにおけるユーザー間メッセージング、ストア・アンド・フォワードまたはリアルタイムプロトコルによる送信（例：電子メール）、ソーシャルネットワーキングサービスをサポートするためのもの H04L 67/00 ネットワークサービスやアプリケーションをサポートするためのネットワーク構成やプロトコル H04N 1/00 画像通信、文書等のスキャン、送信、再生 H04W 4/21 無線通信ネットワークに特化したサービス、ソーシャルネットワーキングアプリケーションのためのサービス信号,5L010
40,G06Q10/42,2,ユーザー間の相性または共通の関心の判定［２０２６．０１］,"【再分類中】G06Q50/00,300から文献を再分類中 【ＩＰＣタイトル】Determination of affinities or common interests between users[2026.01]",-,5L010
41,G06Q10/44,2,ソーシャルネットワーク内のトレンドの特定，例．トレンドトピックの特定［２０２６．０１］,"【再分類中】G06Q50/00,300から文献を再分類中 【ＩＰＣタイトル】Identification of trends within social networks, e.g. identification of trending topics[2026.01]",-,5L010
42,G06Q10/46,2,ソーシャル・ネットワーキング・サービス内でのユーザーの影響力のレベルの判定［２０２６．０１］,"【再分類中】G06Q50/00,300から文献を再分類中 【ＩＰＣタイトル】Determination of level of influence of users within social networking services[2026.01]",-,5L010
43,G06Q10/48,2,ソーシャルグラフの使用によるもの［２０２６．０１］,"【再分類中】G06Q50/00,300から文献を再分類中 【ＩＰＣタイトル】using social graphs[2026.01]",-,5L010
